table	shortest_gates	witness_payload_hex	count_k1	count_k2	count_k3	count_k4	count_k5
92	4	02030b25	0	0	0	72	25704
93	3	000b14	0	0	44	4592	526632
94	4	000b5325	0	0	0	32	13552
95	1	02	2	36	1394	84564	7306030
96	3	01025c	0	0	20	2016	233324
97	4	0a411c55	0	0	0	96	20128
98	4	010a1c55	0	0	0	96	20800
99	3	02034c	0	0	52	5328	589152
100	4	020a1c4d	0	0	0	96	20800
101	3	010354	0	0	52	5328	589152
102	1	4a	2	36	1290	74244	6179190
103	5	00091c542e	0	0	0	0	432
104	5	4113420d26	0	0	0	0	576
105	3	004a5c	0	0	72	7488	856848
106	3	01125c	0	0	16	1664	205600
107	4	42134b25	0	0	0	64	18560
108	3	02095c	0	0	16	1664	205600
109	4	410b5325	0	0	0	64	18560
110	4	010b5325	0	0	0	128	40512
111	3	015304	0	0	68	6976	777392
112	3	0a0324	0	0	4	416	64796
113	4	414a1c55	0	0	0	64	13856
114	4	004b145d	0	0	0	72	25704
115	3	02030c	0	0	44	4592	526632
116	4	00530c5d	0	0	0	72	25704
117	3	010314	0	0	44	4592	526632
118	4	09035325	0	0	0	32	13552
119	1	0a	2	36	1394	84564	7306030
120	3	000a5c	0	0	16	1664	205600
121	4	41035325	0	0	0	64	18560
122	4	01035325	0	0	0	128	40512
